id,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,release_year,review_score
26,"A comic series of short vignettes build on one another to create a cumulative effect, as the characters discuss things as diverse as caffeine popsicles, Paris in the '20s, and the use of nicotine as an insecticide--all the while sitting around sipping coffee and smoking cigarettes. As director Jim Jarmusch delves into the normal pace of our world from an extraordinary angle, he shows just how absorbing the obsessions, joys and addictions of life can be, if truly observed.",R,Comedy,Jim Jarmusch,Jim Jarmusch,2004-05-14,"Sep 21, 2004",$,1971135.0,96 minutes,MGM,2004,63
26,"A comic series of short vignettes build on one another to create a cumulative effect, as the characters discuss things as diverse as caffeine popsicles, Paris in the '20s, and the use of nicotine as an insecticide--all the while sitting around sipping coffee and smoking cigarettes. As director Jim Jarmusch delves into the normal pace of our world from an extraordinary angle, he shows just how absorbing the obsessions, joys and addictions of life can be, if truly observed.",R,Drama,Jim Jarmusch,Jim Jarmusch,2004-05-14,"Sep 21, 2004",$,1971135.0,96 minutes,MGM,2004,63
26,"A comic series of short vignettes build on one another to create a cumulative effect, as the characters discuss things as diverse as caffeine popsicles, Paris in the '20s, and the use of nicotine as an insecticide--all the while sitting around sipping coffee and smoking cigarettes. As director Jim Jarmusch delves into the normal pace of our world from an extraordinary angle, he shows just how absorbing the obsessions, joys and addictions of life can be, if truly observed.",R,Musical and Performing Arts,Jim Jarmusch,Jim Jarmusch,2004-05-14,"Sep 21, 2004",$,1971135.0,96 minutes,MGM,2004,63
40,"John Sayles' Casa de los Babys tells the tale of a half-dozen American women who travel to Latin America in order to pick up their adopted children. They all stay at the same motel while they each wade through the bureaucracy. Sharing with each other their fears, hopes, dreams, and frustrations at the thoughts of becoming mothers comprises the majority of the drama in the film. The cast includes Maggie Gyllenhaal, Daryl Hannah, Marcia Gay Harden, Susan Lynch, Mary Steenburgen, Lili Taylor, and Rita Moreno.",R,Drama,John Sayles,John Sayles,2003-09-19,"Apr 13, 2004",$,312136.0,95 minutes,,2003,56
41,"Ken Loach directs Sweet Sixteen, a gritty drama about a young man slowly succumbing to a life of crime. Liam (Martin Compson) hopes that his imprisoned mother (Michelle Coulter) will be free by his 16th birthday. Hoping to help his mother escape her abusive heroin-dealing boyfriend (Gary McCormack), Liam rats him out to the cops. Liam's sister, Chantelle (Annmarie Fulton), suggests that a new trailer park might be a better place for their mother to live. With the help of his best friend, Pinball (William Ruanne), Liam sells the boyfriend's supply in order to raise the money, but this gets him into trouble with gangsters whose turf he was selling in. Soon Liam is on the way up in the criminal world, but that success comes with a toll. The accents in this Scottish-set film are so thick that English subtitles are used throughout. Sweet Sixteen was screened in competition at the 2002 Cannes Film Festival.",R,Drama,Ken Loach,Paul Laverty,2003-05-16,"Oct 7, 2003",$,201010.0,106 minutes,Lions Gate Films,2003,96
57,"Life doesn't always go according to plan. Pat Solatano (Bradley Cooper) has lost everything -- his house, his job, and his wife. He now finds himself living back with his mother (Jacki Weaver) and father (Robert DeNiro) after spending eight months is a state institution on a plea bargain. Pat is determined to rebuild his life, remain positive and reunite with his wife, despite the challenging circumstances of their separation. All Pat's parents want is for him to get back on his feet-and to share their family's obsession with the Philadelphia Eagles football team. When Pat meets Tiffany (Jennifer Lawrence), a mysterious girl with problems of her own, things get complicated. Tiffany offers to help Pat reconnect with his wife, but only if he'll do something very important for her in return. As their deal plays out, an unexpected bond begins to form between them, and silver linings appear in both of their lives. -- (C) Weinstein",R,Comedy,,,2012-11-21,"Apr 30, 2013",$,132088910.0,122 minutes,The Weinstein Company,2012,92
61,"Death once again shows he's determined to get what he wants in this teen-centric thriller. Wendy (Mary Elizabeth Winstead) is a high school student hanging out with her friends at an amusement park one night when they decide to ride on the roller coaster. Wendy, however, has a premonition that something horrible will happen, and finds a way to save herself shortly before the ride goes off the rails, killing most of its passengers, including her boyfriend, Jason (Jesse Moss), and best friend, Carrie (Gina Holden). However, while Wendy may have survived the night at the park, she soon discovers that a malevolent spirit is following her and her classmates as they begin dying in strange and horrible ways. Wendy learns that a series of snapshots taken that evening give clues to the mayhem that followed her pals, and she teams up with Kevin (Ryan Merriman), Carrie's sweetheart, to try to warn the potential victims about the fates soon to befall them. Final Destination 3 was directed and co-scripted by James Wong, who also helmed the first two films in the franchise.",R,Action and Adventure,James Wong,James Wong|Glen Morgan,2006-02-10,"Jul 25, 2006",$,54100000.0,93 minutes,New Line Cinema,2006,44
61,"Death once again shows he's determined to get what he wants in this teen-centric thriller. Wendy (Mary Elizabeth Winstead) is a high school student hanging out with her friends at an amusement park one night when they decide to ride on the roller coaster. Wendy, however, has a premonition that something horrible will happen, and finds a way to save herself shortly before the ride goes off the rails, killing most of its passengers, including her boyfriend, Jason (Jesse Moss), and best friend, Carrie (Gina Holden). However, while Wendy may have survived the night at the park, she soon discovers that a malevolent spirit is following her and her classmates as they begin dying in strange and horrible ways. Wendy learns that a series of snapshots taken that evening give clues to the mayhem that followed her pals, and she teams up with Kevin (Ryan Merriman), Carrie's sweetheart, to try to warn the potential victims about the fates soon to befall them. Final Destination 3 was directed and co-scripted by James Wong, who also helmed the first two films in the franchise.",R,Drama,James Wong,James Wong|Glen Morgan,2006-02-10,"Jul 25, 2006",$,54100000.0,93 minutes,New Line Cinema,2006,44
61,"Death once again shows he's determined to get what he wants in this teen-centric thriller. Wendy (Mary Elizabeth Winstead) is a high school student hanging out with her friends at an amusement park one night when they decide to ride on the roller coaster. Wendy, however, has a premonition that something horrible will happen, and finds a way to save herself shortly before the ride goes off the rails, killing most of its passengers, including her boyfriend, Jason (Jesse Moss), and best friend, Carrie (Gina Holden). However, while Wendy may have survived the night at the park, she soon discovers that a malevolent spirit is following her and her classmates as they begin dying in strange and horrible ways. Wendy learns that a series of snapshots taken that evening give clues to the mayhem that followed her pals, and she teams up with Kevin (Ryan Merriman), Carrie's sweetheart, to try to warn the potential victims about the fates soon to befall them. Final Destination 3 was directed and co-scripted by James Wong, who also helmed the first two films in the franchise.",R,Horror,James Wong,James Wong|Glen Morgan,2006-02-10,"Jul 25, 2006",$,54100000.0,93 minutes,New Line Cinema,2006,44
61,"Death once again shows he's determined to get what he wants in this teen-centric thriller. Wendy (Mary Elizabeth Winstead) is a high school student hanging out with her friends at an amusement park one night when they decide to ride on the roller coaster. Wendy, however, has a premonition that something horrible will happen, and finds a way to save herself shortly before the ride goes off the rails, killing most of its passengers, including her boyfriend, Jason (Jesse Moss), and best friend, Carrie (Gina Holden). However, while Wendy may have survived the night at the park, she soon discovers that a malevolent spirit is following her and her classmates as they begin dying in strange and horrible ways. Wendy learns that a series of snapshots taken that evening give clues to the mayhem that followed her pals, and she teams up with Kevin (Ryan Merriman), Carrie's sweetheart, to try to warn the potential victims about the fates soon to befall them. Final Destination 3 was directed and co-scripted by James Wong, who also helmed the first two films in the franchise.",R,Mystery and Suspense,James Wong,James Wong|Glen Morgan,2006-02-10,"Jul 25, 2006",$,54100000.0,93 minutes,New Line Cinema,2006,44
65,"A classic Disney fairytale collides with modern-day New York City in a story about a fairytale princess from the past who is thrust into present-day by an evil queen. Soon after her arrival, Princess Giselle begins to change her views on life and love after meeting a handsome lawyer. Can a storybook view of romance survive in the real world?",PG,Comedy,Kevin Lima,,2007-11-21,"Mar 18, 2008",$,127706877.0,108 minutes,Walt Disney Pictures,2007,93
65,"A classic Disney fairytale collides with modern-day New York City in a story about a fairytale princess from the past who is thrust into present-day by an evil queen. Soon after her arrival, Princess Giselle begins to change her views on life and love after meeting a handsome lawyer. Can a storybook view of romance survive in the real world?",PG,Kids and Family,Kevin Lima,,2007-11-21,"Mar 18, 2008",$,127706877.0,108 minutes,Walt Disney Pictures,2007,93
65,"A classic Disney fairytale collides with modern-day New York City in a story about a fairytale princess from the past who is thrust into present-day by an evil queen. Soon after her arrival, Princess Giselle begins to change her views on life and love after meeting a handsome lawyer. Can a storybook view of romance survive in the real world?",PG,Romance,Kevin Lima,,2007-11-21,"Mar 18, 2008",$,127706877.0,108 minutes,Walt Disney Pictures,2007,93
77,"Until he was downsized, affable, amiable Larry Crowne (Tom Hanks) was a superstar team leader at the big-box company where he's worked since his time in the Navy. Underwater on his mortgage and unclear on what to do with his suddenly free days, Larry heads to his local college to start over. There he becomes part of a colorful community of outcasts, also-rans and the overlooked all trying to find a better future for themselves...often moving around town in a herd of scooters. In his public-speaking class, Larry develops an unexpected crush on his teacher Mercedes Tainot (Julia Roberts), who has lost as much passion for teaching as she has for her husband. -- (C) Universal Pictures",PG-13,Comedy,Tom Hanks,Tom Hanks|Nia Vardalos,2011-07-01,"Nov 15, 2011",$,35565975.0,99 minutes,Universal Pictures,2011,36
77,"Until he was downsized, affable, amiable Larry Crowne (Tom Hanks) was a superstar team leader at the big-box company where he's worked since his time in the Navy. Underwater on his mortgage and unclear on what to do with his suddenly free days, Larry heads to his local college to start over. There he becomes part of a colorful community of outcasts, also-rans and the overlooked all trying to find a better future for themselves...often moving around town in a herd of scooters. In his public-speaking class, Larry develops an unexpected crush on his teacher Mercedes Tainot (Julia Roberts), who has lost as much passion for teaching as she has for her husband. -- (C) Universal Pictures",PG-13,Drama,Tom Hanks,Tom Hanks|Nia Vardalos,2011-07-01,"Nov 15, 2011",$,35565975.0,99 minutes,Universal Pictures,2011,36
87,"""Mao's Last Dancer"" is the inspiring true story of Li Cunxin and his extraordinary journey from a poor upbringing in rural China to international stardom as a world-class ballet dancer. Based on the best selling autobiography, the film weaves a moving tale about the quest for freedom and the courage it takes to live your own life. It compellingly captures the struggles, sacrifices and triumphs, as well as the intoxicating effects of first love and celebrity amid the pain of exile.",PG,Art House and International,Bruce Beresford,Jan Sardi,2010-08-20,"May 3, 2011",$,4806750.0,117 minutes,Samuel Goldwyn Films,2010,57
87,"""Mao's Last Dancer"" is the inspiring true story of Li Cunxin and his extraordinary journey from a poor upbringing in rural China to international stardom as a world-class ballet dancer. Based on the best selling autobiography, the film weaves a moving tale about the quest for freedom and the courage it takes to live your own life. It compellingly captures the struggles, sacrifices and triumphs, as well as the intoxicating effects of first love and celebrity amid the pain of exile.",PG,Drama,Bruce Beresford,Jan Sardi,2010-08-20,"May 3, 2011",$,4806750.0,117 minutes,Samuel Goldwyn Films,2010,57
87,"""Mao's Last Dancer"" is the inspiring true story of Li Cunxin and his extraordinary journey from a poor upbringing in rural China to international stardom as a world-class ballet dancer. Based on the best selling autobiography, the film weaves a moving tale about the quest for freedom and the courage it takes to live your own life. It compellingly captures the struggles, sacrifices and triumphs, as well as the intoxicating effects of first love and celebrity amid the pain of exile.",PG,Musical and Performing Arts,Bruce Beresford,Jan Sardi,2010-08-20,"May 3, 2011",$,4806750.0,117 minutes,Samuel Goldwyn Films,2010,57
95,"BLEED FOR THIS is the incredible true story of one of the most inspiring and unlikely comebacks in sports history. Miles Teller (Whiplash, Divergent) stars as Vinny ""The Pazmanian Devil"" Pazienza, a local Providence boxer who shot to stardom after winning two world title fights. After a near-fatal car accident leaves Vinny with a broken neck, he is told he may never walk again. Against all odds and doctor's orders, renowned trainer Kevin Rooney (Aaron Eckhart) agrees to help Vinny return to the ring just a year after the accident for what could be the last fight of his life.",R,Drama,Ben Younger,Ben Younger,2016-11-18,"Feb 14, 2017",$,5051927.0,116 minutes,Open Road Films,2016,68
95,"BLEED FOR THIS is the incredible true story of one of the most inspiring and unlikely comebacks in sports history. Miles Teller (Whiplash, Divergent) stars as Vinny ""The Pazmanian Devil"" Pazienza, a local Providence boxer who shot to stardom after winning two world title fights. After a near-fatal car accident leaves Vinny with a broken neck, he is told he may never walk again. Against all odds and doctor's orders, renowned trainer Kevin Rooney (Aaron Eckhart) agrees to help Vinny return to the ring just a year after the accident for what could be the last fight of his life.",R,Sports and Fitness,Ben Younger,Ben Younger,2016-11-18,"Feb 14, 2017",$,5051927.0,116 minutes,Open Road Films,2016,68
99,"A woman finds herself attempting to foil one office romance while debating if she should take a chance on another in this romantic comedy. Lucy Kelton (Sandra Bullock) is a top-flight attorney who has risen to the position of Chief Legal Counsel for one of New York's leading commercial real estate firms, the Wade Corporation. However, Lucy's job has one significant drawback -- George Wade (Hugh Grant), the eccentric and remarkably self-centered head of the firm. George seems entirely incapable of making a decision without Lucy's advice, whether it actually involves a legal matter or not, and while she's fond of George, being at his beck and call 24 hours a day has brought her to the end of her rope. In a moment of anger, Lucy gives her two weeks notice, and George reluctantly accepts, under one condition -- Lucy has to hire her own replacement. After extensive research, Lucy picks June Carter (Alicia Witt), a Harvard Law graduate determined to make a career for herself. Lucy soon begins to suspect, however, that June plans to hasten her rise up the corporate ladder by winning George's hand, leaving Lucy to wonder if she should warn George about his beautiful but calculating new attorney -- and whether she should tell George that she has finally realized she's in love with him. Two Weeks Notice was written and directed by Marc Lawrence, who had previously scripted two other box-office hits for Sandra Bullock: Miss Congeniality and Forces of Nature.",PG-13,Comedy,,,2002-12-20,"Apr 29, 2003",$,93300000.0,102 minutes,Warner Bros.,2002,41
99,"A woman finds herself attempting to foil one office romance while debating if she should take a chance on another in this romantic comedy. Lucy Kelton (Sandra Bullock) is a top-flight attorney who has risen to the position of Chief Legal Counsel for one of New York's leading commercial real estate firms, the Wade Corporation. However, Lucy's job has one significant drawback -- George Wade (Hugh Grant), the eccentric and remarkably self-centered head of the firm. George seems entirely incapable of making a decision without Lucy's advice, whether it actually involves a legal matter or not, and while she's fond of George, being at his beck and call 24 hours a day has brought her to the end of her rope. In a moment of anger, Lucy gives her two weeks notice, and George reluctantly accepts, under one condition -- Lucy has to hire her own replacement. After extensive research, Lucy picks June Carter (Alicia Witt), a Harvard Law graduate determined to make a career for herself. Lucy soon begins to suspect, however, that June plans to hasten her rise up the corporate ladder by winning George's hand, leaving Lucy to wonder if she should warn George about his beautiful but calculating new attorney -- and whether she should tell George that she has finally realized she's in love with him. Two Weeks Notice was written and directed by Marc Lawrence, who had previously scripted two other box-office hits for Sandra Bullock: Miss Congeniality and Forces of Nature.",PG-13,Romance,,,2002-12-20,"Apr 29, 2003",$,93300000.0,102 minutes,Warner Bros.,2002,41
108,"A picture-perfect family moves into an upscale community, impressing the locals and integrating themselves into every aspect of the community until a sudden tragedy forces them to reassess their priorities. Steve (David Duchovny) and Kate Jones (Demi Moore) have everything a happily married couple could ever want: their kids, Jenn (Amber Heard) and Mick (Ben Hollingsworth), are intelligent and attractive, they live in an affluent neighborhood, and their sprawling suburban home is jam-packed with all of the coolest gizmos and gadgets that money can buy. It isn't long before the Joneses have struck up a friendship with their next-door neighbors Larry (Gary Cole) and Summer (Glenne Headly), and become integral components of their community. But take a closer look at the situation and you'll start to see something ominous lurking just beneath the surface. It's only when the Joneses are confronted with an unexpected disaster that they finally discover who they really are beneath the glossy veneer of consumerism.",R,Comedy,Derrick Borte,Derrick Borte,2010-04-16,"Aug 10, 2010",$,1000000.0,93 minutes,Roadside Attractions,2010,62
108,"A picture-perfect family moves into an upscale community, impressing the locals and integrating themselves into every aspect of the community until a sudden tragedy forces them to reassess their priorities. Steve (David Duchovny) and Kate Jones (Demi Moore) have everything a happily married couple could ever want: their kids, Jenn (Amber Heard) and Mick (Ben Hollingsworth), are intelligent and attractive, they live in an affluent neighborhood, and their sprawling suburban home is jam-packed with all of the coolest gizmos and gadgets that money can buy. It isn't long before the Joneses have struck up a friendship with their next-door neighbors Larry (Gary Cole) and Summer (Glenne Headly), and become integral components of their community. But take a closer look at the situation and you'll start to see something ominous lurking just beneath the surface. It's only when the Joneses are confronted with an unexpected disaster that they finally discover who they really are beneath the glossy veneer of consumerism.",R,Drama,Derrick Borte,Derrick Borte,2010-04-16,"Aug 10, 2010",$,1000000.0,93 minutes,Roadside Attractions,2010,62
108,"A picture-perfect family moves into an upscale community, impressing the locals and integrating themselves into every aspect of the community until a sudden tragedy forces them to reassess their priorities. Steve (David Duchovny) and Kate Jones (Demi Moore) have everything a happily married couple could ever want: their kids, Jenn (Amber Heard) and Mick (Ben Hollingsworth), are intelligent and attractive, they live in an affluent neighborhood, and their sprawling suburban home is jam-packed with all of the coolest gizmos and gadgets that money can buy. It isn't long before the Joneses have struck up a friendship with their next-door neighbors Larry (Gary Cole) and Summer (Glenne Headly), and become integral components of their community. But take a closer look at the situation and you'll start to see something ominous lurking just beneath the surface. It's only when the Joneses are confronted with an unexpected disaster that they finally discover who they really are beneath the glossy veneer of consumerism.",R,Kids and Family,Derrick Borte,Derrick Borte,2010-04-16,"Aug 10, 2010",$,1000000.0,93 minutes,Roadside Attractions,2010,62
124,"In present-day London, twelve-year-old Quinn watches as his mother, a construction engineer inadvertently wakes an enormous fire-breathing beast from its centuries-long slumber. Twenty years later, much of the world has been scarred by the beast and its offspring. As a fire chief, Quinn is responsible for warding off the beasts and keeping a small community alive as they eke out a meager existence. Into their midst comes a hotshot American, Van Zan, who says he has a way to kill the beasts and save mankind--a way Quinn's never seen done.",PG-13,Action and Adventure,Rob Bowman,Terry Hayes|Kevin Peterka|Gregg Chabot|Matthew Greenberg|Matt Greenberg,2002-07-12,"Nov 19, 2002",$,42929971.0,101 minutes,Buena Vista Distribution Compa,2002,38
124,"In present-day London, twelve-year-old Quinn watches as his mother, a construction engineer inadvertently wakes an enormous fire-breathing beast from its centuries-long slumber. Twenty years later, much of the world has been scarred by the beast and its offspring. As a fire chief, Quinn is responsible for warding off the beasts and keeping a small community alive as they eke out a meager existence. Into their midst comes a hotshot American, Van Zan, who says he has a way to kill the beasts and save mankind--a way Quinn's never seen done.",PG-13,Science Fiction and Fantasy,Rob Bowman,Terry Hayes|Kevin Peterka|Gregg Chabot|Matthew Greenberg|Matt Greenberg,2002-07-12,"Nov 19, 2002",$,42929971.0,101 minutes,Buena Vista Distribution Compa,2002,38
136,"In CASE 39, family services social worker Emily Jenkins (Ren",R,Horror,Christian Alvart,Ray Wright,2010-10-01,"Jan 4, 2011",$,13248477.0,109 minutes,Paramount Studios,2010,21
136,"In CASE 39, family services social worker Emily Jenkins (Ren",R,Mystery and Suspense,Christian Alvart,Ray Wright,2010-10-01,"Jan 4, 2011",$,13248477.0,109 minutes,Paramount Studios,2010,21
153,"Meet the kid who made ""wimpy"" cool in a family comedy based on the best-selling illustrated novel Diary of a Wimpy Kid by Jeff Kinney, the first in a series that has thus far sold 24 million copies. ""Diary of a Wimpy Kid"" chronicles the adventures of wise-cracking pre-teen Greg Heffley, who must somehow survive the scariest time of anyone's life: middle school.",PG,Comedy,Thor Freudenthal,Jackie Filgo|Jeff Filgo|Gabe Sachs|Jeff Judah,2010-03-19,"Aug 3, 2010",$,64001297.0,93 minutes,20th Century Fox,2010,52
153,"Meet the kid who made ""wimpy"" cool in a family comedy based on the best-selling illustrated novel Diary of a Wimpy Kid by Jeff Kinney, the first in a series that has thus far sold 24 million copies. ""Diary of a Wimpy Kid"" chronicles the adventures of wise-cracking pre-teen Greg Heffley, who must somehow survive the scariest time of anyone's life: middle school.",PG,Kids and Family,Thor Freudenthal,Jackie Filgo|Jeff Filgo|Gabe Sachs|Jeff Judah,2010-03-19,"Aug 3, 2010",$,64001297.0,93 minutes,20th Century Fox,2010,52
158,"The film tells the inspiring true story of how Nelson Mandela joined forces with the captain of South Africa's rugby team to help unite their country. Newly elected President Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's underdog rugby team as they make an unlikely run to the 1995 World Cup Championship match.",PG-13,Drama,Clint Eastwood,Anthony Peckham,2009-12-11,"May 18, 2010",$,37431431.0,134 minutes,Warner Bros. Pictures,2009,76
158,"The film tells the inspiring true story of how Nelson Mandela joined forces with the captain of South Africa's rugby team to help unite their country. Newly elected President Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's underdog rugby team as they make an unlikely run to the 1995 World Cup Championship match.",PG-13,Sports and Fitness,Clint Eastwood,Anthony Peckham,2009-12-11,"May 18, 2010",$,37431431.0,134 minutes,Warner Bros. Pictures,2009,76
